# 函戈五笔 拼音码表
# 格式：拼音	汉字	权重
# 来源：rime-pinyin-simp + rime-luna-pinyin
# 条目数：119004
duiting	碓梃	2555
duiwuhanglie	隊伍行列	2555
duizhang	隊長	2555
duizhu	堆貯	2555
duji	督緝	2555
dujiang	都講	2555
dujiaosheshu	獨角赦書	2555
dujiaoxi	獨角戲	2555
dujiashengdi	度假勝地	2555
duju	犢車	2555
dujue	獨覺	2555
dukeng	都坑	2555
dulai	都來	2555
duliaojiang	都料匠	2555
duling	都靈	2555
dulu	都嚕	2555
dumadiao	都馬調	2555
dumen	都門	2555
dumenbingji	杜門屏跡	2555
dumo	篤麼	2555
dumo	都抹	2555
dun	䃦	2555
dun	䤜	2555
dun	䪃	2555
dun	坉	2555
dun	墪	2555
dun	崸	2555
dun	庉	2555
dun	弴	2555
dun	憝	2555
dun	憞	2555
dun	扥	2555
dun	扽	2555
dun	撴	2555
dun	橔	2555
dun	犜	2555
dun	獤	2555
dun	瞃	2555
dun	碷	2555
dun	腞	2555
dun	蜳	2555
dun	踲	2555
dun	蹾	2555
dun	輴	2555
dun	逇	2555
dun	鐜	2555
dun	飩	2555
dun	鶨	2555
dun	𠎻	2555
dun	𡆰	2555
dun	𡼖	2555
dun	𢬼	2555
dun	𣎴	2555
dun	𣗁	2555
dun	𣚪	2555
dun	𣞇	2555
dun	𤟢	2555
dun	𤭞	2555
dun	𥂦	2555
dun	𥫬	2555
dun	𥫱	2555
dun	𥭒	2555
dun	𦎧	2555
dun	𦪔	2555
dun	𦰭	2555
dun	𦼿	2555
dun	𧝗	2555
dun	𧿗	2555
dun	𨔡	2555
dun	𩔂	2555
dun	𩞤	2555
duncang	遁藏	2555
dunchuan	躉船	2555
dunci	遯辭	2555
dundang	躉當	2555
dundaomangua	鈍刀慢剮	2555
dundi	頓地	2555
dundun	庉庉	2555
duner	躉兒	2555
dunjiao	鈍角	2555
dunjishanlin	遯跡山林	2555
dunkaimaose	頓開茅塞	2555
dunmai	躉賣	2555
dunmou	頓牟	2555
dunpi	躉批	2555
dunpin	敦聘	2555
dunshi	遯世	2555
dunshoushichang	躉售市場	2555
dunxin	遯心	2555
dunxing	遯形	2555
dunzu	頓捽	2555
duo	㖼	2555
duo	㙍	2555
duo	㙐	2555
duo	㛆	2555
duo	㛊	2555
duo	㡯	2555
duo	㣞	2555
duo	㤞	2555
duo	㥩	2555
duo	㨊	2555
duo	㪜	2555
duo	㻔	2555
duo	㻧	2555
duo	䅜	2555
duo	䐾	2555
duo	䑨	2555
duo	䒳	2555
duo	䙃	2555
duo	䙤	2555
duo	䝐	2555
duo	䠤	2555
duo	䤪	2555
duo	䤻	2555
duo	䩔	2555
duo	䫂	2555
duo	䭾	2555
duo	䯬	2555
duo	䲊	2555
duo	亸	2555
duo	凙	2555
duo	刴	2555
duo	喥	2555
duo	嚉	2555
duo	垜	2555
duo	夛	2555
duo	尮	2555
duo	崜	2555
duo	憜	2555
duo	挅	2555
duo	挆	2555
duo	敚	2555
duo	敠	2555
duo	杂	2555
duo	枤	2555
duo	桗	2555
duo	檡	2555
duo	灺	2555
duo	炧	2555
duo	炨	2555
duo	畓	2555
duo	痥	2555
duo	笜	2555
duo	缍	2555
duo	腏	2555
duo	茤	2555
duo	莌	2555
duo	袉	2555
duo	袳	2555
duo	襗	2555
duo	貀	2555
duo	跥	2555
duo	軃	2555
duo	陏	2555
duo	飿	2555
duo	饳	2555
duo	駄	2555
duo	𠛫	2555
duo	𡌭	2555
duo	𡓉	2555
duo	𡓷	2555
duo	𡶲	2555
duo	𡺇	2555
duo	𢜬	2555
duo	𢳽	2555
duo	𢼠	2555
duo	𢿎	2555
duo	𣑧	2555
duo	𣧷	2555
duo	𣵺	2555
duo	𣵻	2555
duo	𤋨	2555
duo	𤌃	2555
duo	𤛛	2555
duo	𤢕	2555
duo	𤤸	2555
duo	𤬾	2555
duo	𥞛	2555
duo	𥬲	2555
duo	𥳔	2555
duo	𥿰	2555
duo	𦍦	2555
duo	𦕰	2555
duo	𦖋	2555
duo	𧊱	2555
duo	𧊶	2555
duo	𧙤	2555
duo	𧢵	2555
duo	𧧇	2555
duo	𧩧	2555
duo	𧱫	2555
duo	𨀟	2555
duo	𨆅	2555
duo	𨉡	2555
duo	𨍏	2555
duo	𨦃	2555
duo	𨬍	2555
duo	𨲉	2555
duo	𨹃	2555
duo	𩃒	2555
duo	𩊜	2555
duo	𩍜	2555
duo	𩎫	2555
duo	𩑒	2555
duo	𩢎	2555
duo	𩬻	2555
duo	𩿩	2555
duo	𪃒	2555
duo	𪘉	2555
duo	𪞝	2555
duobuliao	躲不了	2555
duocaishangu	多財善賈	2555
duocanghouwang	多藏厚亡	2555
duochang	多長	2555
duochangshijian	多長時間	2555
duochangxieda	度長絜大	2555
duochongguoji	多重國籍	2555
duochongrenge	多重人格	2555
duochongxingge	多重性格	2555
duodeliangli	度德量力	2555
duodi	墮地	2555
duodongduoxi	掇東掇西	2555
duoduocangcang	躲躲藏藏	2555
duofengzenzi	掇蜂譖子	2555
duohua	掇畫	2555
duojian	掇肩	2555
duojiaohua	多角化	2555
duojiaojingying	多角經營	2555
duojiaoxing	多角形	2555
duojie	咄唶	2555
duojie	咄嗟	2555
duojiebianban	咄嗟便辦	2555
duojieerban	咄嗟而辦	2555
duojiekeban	咄嗟可辦	2555
duojunzizhifu	度君子之腹	2555
duoliang	度量	2555
duolu	多露	2555
duoluoduosuo	哆囉哆嗦	2555
duolvlianben	多氯聯苯	2555
duomicang	躲迷藏	2555
duonong	掇弄	2555
duonuo	掇那	2555
duoqianshangu	多錢善賈	2555
duoqin	掇芹	2555
duoqingshizi	掇青拾紫	2555
duoshi	掇拾	2555
duosong	掇送	2555
duotunpengpi	掇臀捧屁	2555
duoxingbuyibizibi	多行不義必自斃	2555
duoyanshuoqiong	多言數窮	2555
duoyi	掇遺	2555
duoyidajiao	朵頤大嚼	2555
duozhuan	多賺	2555
duozhuan	掇轉	2555
duozi	馱子	2555
duozuo	掇坐	2555
dupixijing	獨闢蹊徑	2555
duqi	督緝	2555
durenshi	都人士	2555
duse	杜塞	2555
dushai	賭色	2555
dushi	都試	2555
dushibao	都市報	2555
dushibing	都市病	2555
dushihua	都市化	2555
dushijiaju	都市傢俱	2555
dushijihua	都市計畫	2555
dushimeirongshi	都市美容師	2555
dushizhifei	都市之肺	2555
dushuai	督率	2555
dusi	都寺	2555
dusu	獨宿	2555
dutou	都頭	2555
duweizhizhu	睹微知著	2555
duxia	都轄	2555
duxianaige	獨弦哀歌	2555
duxing	獨行	2555
duxing	篤行	2555
duxingdadao	獨行大盜	2555
duxingduduan	獨行獨斷	2555
duxingqidao	獨行其道	2555
duxingqishi	獨行其是	2555
duxingxia	獨行俠	2555
duya	都雅	2555
duyangzebuzhang	獨陽則不長	2555
duye	毒液	2555
duyi	都邑	2555
duyuele	獨樂樂	2555
duyuxufu	都俞吁咈	2555
duzhong	都中	2555
duzhuopouliangzhu	蠹啄剖梁柱	2555
duzi	都子	2555
duzuan	都纂	2555
e	㓵	2555
e	㔩	2555
e	㖾	2555
e	㗁	2555
e	㗉	2555
e	㘥	2555
e	㛕	2555
e	㟧	2555
e	㠋	2555
e	㣂	2555
e	㦍	2555
e	㧖	2555
e	㧴	2555
e	㩵	2555
e	㩽	2555
e	㫊	2555
e	㮙	2555
e	㷈	2555
e	㼂	2555
e	䄉	2555
e	䆓	2555
e	䋪	2555
e	䑥	2555
e	䑪	2555
e	䔾	2555
e	䕏	2555
e	䖸	2555
e	䙳	2555
e	䚰	2555
e	䛖	2555
e	䛩	2555
e	䜙	2555
e	䝈	2555
e	䞩	2555
e	䣞	2555
e	䩹	2555
e	䫷	2555
e	䱮	2555
e	䳗	2555
e	䳘	2555
e	䳬	2555
e	仴	2555
e	偔	2555
e	僫	2555
e	卾	2555
e	吪	2555
e	呝	2555
e	咹	2555
e	唈	2555
e	唖	2555
e	囐	2555
e	圔	2555
e	堨	2555
e	妸	2555
e	妿	2555
e	姶	2555
e	娿	2555
e	婐	2555
e	嫮	2555
e	屵	2555
e	岋	2555
e	嶭	2555
e	戹	2555
e	搤	2555
e	擜	2555
e	歺	2555
e	湂	2555
e	猗	2555
e	琧	2555
e	疴	2555
e	痾	2555
e	瘂	2555
e	硪	2555
e	磀	2555
e	蘁	2555
e	蚵	2555
e	覨	2555
e	詻	2555
e	誐	2555
e	讍	2555
e	鈋	2555
e	鈪	2555
e	鋨	2555
e	錒	2555
e	閜	2555
e	閼	2555
e	阏	2555
e	阸	2555
e	隘	2555
e	頋	2555
e	頟	2555
e	騀	2555
e	魤	2555
e	鰪	2555
e	齃	2555
e	𠥍	2555
e	𠥕	2555
e	𠥜	2555
e	𠯪	2555
e	𠰜	2555
e	𠱥	2555
e	𠱫	2555
e	𠷸	2555
e	𡀾	2555
e	𡅅	2555
e	𡅡	2555
e	𡪑	2555
e	𡪗	2555
e	𡴯	2555
e	𡹣	2555
e	𡾙	2555
e	𢃲	2555
e	𢨡	2555
e	𢼚	2555
e	𢼛	2555
e	𣄰	2555
e	𣎴	2555
e	𣘨	2555
e	𣢛	2555
e	𣤲	2555
e	𣦵	2555
e	𤂷	2555
e	𤎣	2555
e	𤡾	2555
e	𤪄	2555
e	𤭼	2555
e	𤸱	2555
e	𤻜	2555
e	𥋙	2555
e	𥑺	2555
e	𥑾	2555
e	𥓈	2555
e	𥔲	2555
e	𥯳	2555
e	𦊪	2555
e	𦛅	2555
e	𧊜	2555
e	𧊧	2555
e	𧌄	2555
e	𧍬	2555
e	𧒎	2555
e	𧔼	2555
e	𧙃	2555
e	𧚄	2555
e	𧠞	2555
e	𧢽	2555
e	𧨟	2555
e	𧭪	2555
e	𧼎	2555
e	𧽶	2555
e	𧿕	2555
e	𨂁	2555
e	𨃃	2555
e	𨌧	2555
e	𨤕	2555
e	𨱂	2555
e	𨵌	2555
e	𨶯	2555
e	𨸷	2555
e	𨺨	2555
e	𩇠	2555
e	𩉴	2555
e	𩊢	2555
e	𩋊	2555
e	𩋽	2555
e	𩐰	2555
e	𩑁	2555
e	𩒕	2555
e	𩒰	2555
e	𩕟	2555
e	𩕬	2555
e	𩖀	2555
e	𩚬	2555
e	𩣣	2555
e	𩤩	2555
e	𩨮	2555
e	𩪤	2555
e	𩸇	2555
e	𩸋	2555
e	𩸖	2555
e	𩽹	2555
e	𪀝	2555
e	𪅴	2555
e	𪘊	2555
e	𪘐	2555
e	𪙯	2555
ean	阿匼	2555
ebao	阿保	2555
ebaozhigong	阿保之功	2555
ebaozhilao	阿保之勞	2555
ebasang	阿巴桑	2555
ebo	閼伯	2555
echan	阿諂	2555
echi	愕眙	2555
echuan	訛舛	2555
edang	阿黨	2555
edi	惡地	2555
ee	啞啞	2555
ee	砐硪	2555
ee	詻詻	2555
eechuochuo	岋岋惙惙	2555
efanggong	阿房宮	2555
efanggongfu	阿房宮賦	2555
efeng	閼逢	2555
efu	阿附	2555
ege	阿閣	2555
ehang	扼吭	2555
ehangfubei	扼吭拊背	2555
ehangfubei	搤肮拊背	2555
ehao	阿好	2555
eheng	阿衡	2555
ehenhen	惡哏哏	2555
ei	欸	2555
ei	𡅅	2555
ejiao	阿膠	2555
ejiao	額角	2555
ejing	阿井	2555
ejinniaoyin	阿金溺銀	2555
elu	惡露	2555
elu	蛾綠	2555
emei	阿媚	2555
emituofo	阿彌陀佛	2555
emituojing	阿彌陀經	2555
emiu	訛謬	2555
en	䅰	2555
en	䬶	2555
en	䭓	2555
en	䭡	2555
en	𡟯	2555
en	𡵖	2555
en	𡷐	2555
en	𤇯	2555
en	𤫹	2555
enci	恩賜	2555
eng	嗯	2555
enjiangchoubao	恩將仇報	2555
enjizhi	恩給制	2555
enlu	恩露	2555
enshenyizhong	恩深義重	2555
ensi	恩賜	2555
enuo	婐㛂	2555
enuo	猗儺	2555
enuo	𣘨橠	2555
enuoduozi	婀娜多姿	2555
enweibingxing	恩威並行	2555
enweibingzhong	恩威並重	2555
enweibingzhu	恩威並著	2555
enzhongqiushan	恩重丘山	2555
enzhongrushan	恩重如山	2555
eo	呃喔	2555
epiao	餓莩	2555
epiaozaidao	餓莩載道	2555
epiaozhenjie	餓殍枕藉	2555
eqiong	阨窮	2555
eqisuohao	阿其所好	2555
er	㒃	2555
er	㖇	2555
er	㚷	2555
er	㛅	2555
er	㢽	2555
er	㧫	2555
er	䋙	2555
er	䋩	2555
er	䌺	2555
er	䎟	2555
er	䎠	2555
er	䎶	2555
er	䏪	2555
er	䣵	2555
er	䦧	2555
er	䮘	2555
er	儞	2555
er	児	2555
er	厼	2555
er	唲	2555
er	婼	2555
er	尒	2555
er	尓	2555
er	恧	2555
er	樲	2555
er	檽	2555
er	眲	2555
er	耏	2555
er	聏	2555
er	腝	2555
er	臑	2555
er	袻	2555
er	誀	2555
er	趰	2555
er	隭	2555
er	髵	2555
er	鬩	2555
er	𠚧	2555
er	𡦕	2555
er	𢀪	2555
er	𢄽	2555
er	𣧹	2555
er	𣩚	2555
er	𤽓	2555
er	𥅡	2555
er	𦓓	2555
er	𦓔	2555
er	𦖢	2555
er	𦗼	2555
er	𧌣	2555
er	𨎪	2555
er	𩚪	2555
er	𩤖	2555
er	𩰴	2555
er	𩱊	2555
er	𩱓	2555
er	𪐰	2555
er	𪕔	2555
er	𪕨	2555
eran	啞然	2555
eranshise	啞然失色	2555
eranshixiao	啞然失笑	2555
eranwuyan	啞然無言	2555
erba	二伯	2555
erbo	二伯	2555
erchaoting	二朝廷	2555
erche	貳車	2555
erchenzhuan	貳臣傳	2555
erchongchang	二重唱	2555
erchongfenleibiao	二重分類表	2555
erchongguoji	二重國籍	2555
erchongxing	二重性	2555
erchongzou	二重奏	2555
erdazichiluosi	二韃子喫螺螄	2555
erdizhu	二地主	2555
erenguanying	惡稔貫盈	2555
erenhuoying	惡稔禍盈	2555
erenzuiying	惡稔罪盈	2555
erfouzhonghuo	二缶鐘惑	2555
erhuoyao	二和藥	2555
erju	貳車	2555
erlu	二陸	2555
ermianjiao	二面角	2555
ernvqingchang	兒女情長	2555
ernvyingxiongzhuan	兒女英雄傳	2555
erqiandan	二千石	2555
ersheng	二乘	2555
ershibadiao	二十八調	2555
ershibaxiu	二十八宿	2555
ershiwuxian	二十五弦	2555
ershouyan	二手菸	2555
ershunengxiang	耳熟能詳	2555
ertongleyuan	兒童樂園	2555
erxian	二弦	2555
erxian	二絃	2555
erxingcheng	二行程	2555
eryanguan	耳咽管	2555
erzhaowangjiao	二朝王醮	2555
erzhong	耳重	2555
erzhoujing	二軸晶	2555
erzhuan	二傳	2555
esai	阨塞	2555
ese	閼塞	2555
eshi	哦詩	2555
eshi	阿屎	2555
eshixingqianli	惡事行千里	2555
eshixue	阿是穴	2555
eshunqurong	阿順取容	2555
esi	阿私	2555
ewei	阿魏	2555
exing	惡行	2555
exingpinxie	惡性貧血	2555
exingpinxue	惡性貧血	2555
exingyabu	鵝行鴨步	2555
eye	㔩葉	2555
eyi	阿邑	2555
eyiqucong	阿意曲從	2555
eyishunzhi	阿意順旨	2555
eyu	阿諛	2555
eyufengcheng	阿諛奉承	2555
eyufengying	阿諛逢迎	2555
eyugouhe	阿諛苟合	2555
eyuqufeng	阿諛趨奉	2555
eyuqurong	阿諛取容	2555
eyushunyi	阿諛順意	2555
eyushunzhi	阿諛順旨	2555
ezhunge	戹屯歌	2555
ezi	蛾子	2555
ezijian	蚵仔煎	2555
ezimianxian	蚵仔麪線	2555
ezunshigui	阿尊事貴	2555
fa	㕹	2555
fa	㘺	2555
fa	㛲	2555
fa	䂲	2555
fa	䇅	2555
fa	䣹	2555
fa	佱	2555
fa	傠	2555
fa	坺	2555
fa	姂	2555
fa	彂	2555
fa	栰	2555
fa	橃	2555
fa	浌	2555
fa	灋	2555
fa	窆	2555
fa	茷	2555
fa	鍅	2555
fa	𠞵	2555
fa	𠲎	2555
fa	𤇰	2555
fa	𤣹	2555
fa	𤿓	2555
fa	𥎰	2555
fa	𥩱	2555
fa	𦪑	2555
fa	𧬋	2555
fa	𨀳	2555
fa	𨋺	2555
fabang	發榜	2555
fabinglv	發病率	2555
fachan	發顫	2555
fachanghuobi	法償貨幣	2555
fadadiqu	發達地區	2555
fadai	發獃	2555
fadi	乏地	2555
fadingkongdi	法定空地	2555
fadingxieqin	法定血親	2555
fadingxueqin	法定血親	2555
fadingzhunbeilv	法定準備率	2555
faduanxinchang	髮短心長	2555
fagang	發摃	2555
fagui	發匱	2555
fahuan	發還	2555
fahunzi	發諢子	2555
fajiabishi	法家拂士	2555
fajiantifu	發奸擿伏	2555
fajiantifu	發姦擿伏	2555
fajue	發噱	2555
fajue	發覺	2555
fakedahun	發科打諢	2555
falang	琺瑯	2555
falangcai	琺瑯彩	2555
falangzhi	琺瑯質	2555
faleng	發怔	2555
falu	發露	2555
falvbusujiwangyuanze	法律不溯既往原則	2555
falvxingwei	法律行爲	2555
fan	㕨	2555
fan	㛯	2555
fan	㠶	2555
fan	㤆	2555
fan	㮥	2555
fan	㴀	2555
fan	㶗	2555
fan	㸋	2555
fan	㺕	2555
fan	㼝	2555
fan	㽹	2555
fan	䀀	2555
fan	䉊	2555
fan	䉒	2555
fan	䊩	2555
fan	䋣	2555
fan	䋦	2555
fan	䌓	2555
fan	䐪	2555
fan	䑺	2555
fan	䒦	2555
fan	䕰	2555
fan	䛀	2555
fan	䟪	2555
fan	䡊	2555
fan	䣲	2555
fan	䪛	2555
fan	䪤	2555
fan	䪻	2555
fan	䫶	2555
fan	䭵	2555
fan	䮳	2555
fan	僠	2555
fan	凢	2555
fan	凣	2555
fan	匥	2555
fan	噃	2555
fan	嬔	2555
fan	忛	2555
fan	憣	2555
fan	棥	2555
fan	汳	2555
fan	畨	2555
fan	皈	2555
fan	皤	2555
fan	盕	2555
fan	籓	2555
fan	緐	2555
fan	舤	2555
fan	舧	2555
fan	芃	2555
fan	袢	2555
fan	襎	2555
fan	訉	2555
fan	輽	2555
fan	鄤	2555
fan	鐢	2555
fan	飰	2555
fan	魬	2555
fan	𠆩	2555
fan	𠒾	2555
fan	𡁈	2555
fan	𡗹	2555
fan	𡜀	2555
fan	𡤎	2555
fan	𡶉	2555
fan	𢇪	2555
fan	𢐲	2555
fan	𢗰	2555
fan	𢬵	2555
fan	𢶃	2555
fan	𣔶	2555
fan	𣳜	2555
fan	𤄑	2555
fan	𤄫	2555
fan	𤬨	2555
fan	𤭍	2555
fan	𤳖	2555
fan	𥃵	2555
fan	𥅒	2555
fan	𥢌	2555
fan	𥸨	2555
fan	𥹇	2555
fan	𥻫	2555
fan	𥼞	2555
fan	𥿋	2555
fan	𦊻	2555
fan	𦜒	2555
fan	𦦽	2555
fan	𦨲	2555
fan	𦪖	2555
fan	𧀭	2555
fan	𧁉	2555
fan	𧉤	2555
fan	𧊾	2555
fan	𧍙	2555
fan	𧢜	2555
fan	𧦟	2555
fan	𨆌	2555
fan	𨙮	2555
fan	𨟄	2555
fan	𨠒	2555
fan	𨥧	2555
fan	𩕏	2555
fan	𩡫	2555
fan	𩧅	2555
fan	𩨏	2555
fan	𩨩	2555
fan	𪖇	2555
fanbaenrendangchouren	翻把恩人當仇人	2555
fanbai	梵唄	2555
fanbang	番邦	2555
fanbenhuanyuan	反本還原	2555
fanbenhuanyuan	返本還原	2555
fanbo	蕃舶	2555
fanbu	反哺	2555
fanbu	幡布	2555
fanbu	返哺	2555
fanbusi	反不似	2555
fancai	番菜	2555
fancaiguan	番菜館	2555
fancha	梵剎	2555
fanchang	蕃昌	2555
fanchiqian	飯匙倩	2555
fandai	番代	2555
fandezhao	犯得着	2555
fandi	番地	2555
fandi	翻地	2555
fandiao	犯調	2555
fandiao	翻調	2555
fanerbujiao	犯而不校	2555
fanfan	幡幡	2555
fanfan	番番	2555
fanfang	蕃坊	2555
fanfanshifu	番番是福	2555
fanfeidan	反飛彈	2555
fanfo	番佛	2555
fang	㑂	2555
fang	㕫	2555
fang	㤃	2555
fang	㯐	2555
fang	䄱	2555
fang	䢍	2555
fang	䰃	2555
fang	䲱	2555
fang	匚	2555
fang	埅	2555
fang	堏	2555
fang	旊	2555
fang	昘	2555
fang	汸	2555
fang	牥	2555
fang	眆	2555
fang	蚄	2555
fang	趽	2555
fang	閍	2555
fang	鰟	2555
fang	鴋	2555
fang	𣄅	2555
fang	𥫳	2555
fang	𨾔	2555
fang	𩇴	2555
fang	𩗧	2555
fang	𩬝	2555
fang	𩮗	2555
fang	𩲌	2555
fang	𩷸	2555
fang	𪕃	2555
fangai	幡蓋	2555
fangbang	放榜	2555
fangbing	放屏	2555
fangbo	方伯	2555
fangbodi	防波堤	2555
fangboti	防波堤	2555
fangcan	放參	2555
fangchangxiandiaodayu	放長線釣大魚	2555
fangchu	放黜	2555
fangcunzhidi	方寸之地	2555
fangdalv	放大率	2555
fangdangshizong	放蕩弛縱	2555
fangdanyi	防彈衣	2555
fangdi	防地	2555
fangdichan	房地產	2555
fangdichangongtongjijin	房地產共同基金	2555
fangdichanshang	房地產商	2555
fangdichanye	房地產業	2555
fangfan	放番	2555
fangfu	彷彿	2555
fangfuchaipin	放富差貧	2555
fanghua	方罫	2555
fangkongfeidan	防空飛彈	2555
fangmianjianqi	方面兼圻	2555
fangmudi	放牧地	2555
fangong	番弓	2555
fangongdi	范公堤	2555
fangongneixing	返躬內省	2555
fangongti	范公堤	2555
fangongzixing	反躬自省	2555
fangqingqiuhe	放情丘壑	2555
fangqingqiuhuo	放情丘壑	2555
fangrenxingwei	放任行爲	2555
fangruiyuanzao	方枘圜鑿	2555
fangruiyuanzuo	方枘圜鑿	2555
fangshadi	防沙堤	2555
fangshati	防沙堤	2555
fangsuqian	房宿錢	2555
fangua	番瓜	2555
fanguanyujue	販官鬻爵	2555
fangxian	紡纖	2555
fangxie	放血	2555
fangxin	芳馨	2555
fangxing	仿行	2555
fangxing	方行	2555
fangxingrisheng	方興日盛	2555
fangxue	放血	2555
fangyanditu	方言地圖	2555
fangyou	芳猷	2555
fangyu	坊隅	2555
fangyu	方隅	2555
fangyuchengwei	魴魚赬尾	2555
fangzhengbue	方正不阿	2555
fangzhong	放重	2555
fangzhongyue	房中樂	2555
fangzhuan	紡縳	2555
fangzi	放恣	2555
fangzunzhong	放尊重	2555
fanhao	番號	2555
fanhou	蕃侯	2555
fanhua	番話	2555
fanhuan	返還	2555
fanhui	番悔	2555
fanjia	梵筴	2555
fanjian	番筧	2555
fanjiangjiaohai	翻江攪海	2555
fanjiao	番椒	2555
fanjie	反詰	2555
fanjingxingquan	反經行權	2555
fanju	范雎	2555
fankuai	樊噲	2555
fanlaifuqu	番來覆去	2555
fanlaohuantong	反老還童	2555
fanlaohuantong	返老還童	2555
fanliangfan	翻兩番	2555
fanlitianchang	反戾天常	2555
fanlizhi	番荔枝	2555
fanlizhiyan	蕃籬之鷃	2555
fanlu	繁露	2555
fanluan	蕃孌	2555
fanluo	番羅	2555
fanlvan	蕃孌	2555
fanmaili	番麥粒	2555
fanman	翻蔓	2555
fanmao	蕃帽	2555
fanmen	煩懣	2555
fanmubie	番木鱉	2555
fanmuchengchou	反目成仇	2555
fanmugua	番木瓜	2555
fannian	飯粘	2555
fanniujin	犯牛勁	2555
fanqidaoerxing	反其道而行	2555
fanqiechaodan	番茄炒蛋	2555
fanqiehuayuan	番茄花園	2555
fanqiejiang	番茄醬	2555
fanqiesu	番茄素	2555
fanqiurucao	飯糗茹草	2555
fanran	幡然	2555
fanranhuiwu	幡然悔悟	2555
fanrongchangsheng	繁榮昌盛	2555
fanshao	飯勺	2555
fanshe	番社	2555
fanshejiao	反射角	2555
fanshi	番使	2555
fanshiliu	番石榴	2555
fanshu	番戍	2555
fanshu	番藷	2555
fanshu	蕃庶	2555
fanshuo	煩數	2555
fanshupengbing	番薯椪餅	2555
fantan	反彈	2555
fantanguan	番攤館	2555
fantanpipa	反彈琵琶	2555
fanteng	番騰	2555
fantianfudi	番天覆地	2555
fantiannaodi	煩天惱地	2555
fanwu	蕃廡	2555
fanwu	蕃蕪	2555
fanwuqi	樊於期	2555
fanxi	蕃息	2555
fanxianjiguan	繁弦急管	2555
fanxiao	煩囂	2555
fanxiao	繁囂	2555
fanxiaoxuannao	煩囂喧鬧	2555
fanxin	幡信	2555
fanxingqilai	反省起來	2555
fanxingzhongfu	繁刑重賦	2555
fanxingzhonglian	繁刑重斂	2555
fanya	番鴨	2555
fanyan	蕃衍	2555
fanyanbujue	蕃衍不絕	2555
fanyi	番夷	2555
fanyi	番役	2555
fanying	反景	2555
fanying	返景	2555
fanyu	番芋	2555
fanyu	蕃育	2555
fanyue	翻躍	2555
fanzhanggendou	番張跟斗	2555
fanzhao	返棹	2555
fanzhi	幡幟	2555
fanzhi	蕃殖	2555
fanzhouxinguo	反軸心國	2555
fanzhuangli	反撞力	2555
fanzi	番子	2555
fanzi	蕃滋	2555
fanzishou	番子手	2555
fanzuilv	犯罪率	2555
fanzuixingwei	犯罪行爲	2555
faqia	髮卡	2555
farenshenxing	發人深省	2555
fashenglv	發生率	2555
fashengshenme	發生什麼	2555
fashengzhongda	發生重大	2555
fati	發擿	2555
fatianxiangdi	法天象地	2555
fatijianfu	發擿姦伏	2555
fawaixingxiong	法外行兇	2555
faxian	髮癬	2555
faxiangdi	發祥地	2555
faxie	發泄	2555
faxinggupiao	發行股票	2555
faxingjia	發行價	2555
faxingjiage	發行價格	2555
faxingliang	發行量	2555
faxingliangjiaquangujiazhishu	發行量加權股價指數	2555
faxingren	發行人	2555
faxingshouri	發行首日	2555
fayangzhuoli	發揚踔厲	2555
fayintifu	發隱擿伏	2555
fayiquanbo	罰一勸百	2555
fayuandi	發源地	2555
fazang	法藏	2555
fazhan	發顫	2555
fazidu	伐子都	2555
fei	㔗	2555
fei	㥱	2555
fei	㩌	2555
fei	㫵	2555
fei	㵒	2555
fei	㹃	2555
fei	㻗	2555
fei	䀟	2555
fei	䆏	2555
fei	䈈	2555
fei	䉬	2555
fei	䍨	2555
fei	䑔	2555
fei	䒈	2555
fei	䕁	2555
fei	䕠	2555
fei	䚨	2555
fei	䛍	2555
fei	䟛	2555
fei	䠊	2555
fei	䤵	2555
fei	䨽	2555
fei	䨾	2555
fei	䩁	2555
fei	䬠	2555
fei	䯋	2555
fei	䰁	2555
fei	墢	2555
fei	婔	2555
fei	昢	2555
fei	杮	2555
fei	棑	2555
fei	橃	2555
fei	渄	2555
fei	猆	2555
fei	琲	2555
fei	砩	2555
fei	萉	2555
fei	蕜	2555
fei	蕟	2555
fei	裴	2555
fei	裵	2555
fei	鐨	2555
fei	陫	2555
fei	靅	2555
fei	靟	2555
fei	飝	2555
fei	黂	2555
fei	𠏿	2555
fei	𠮆	2555
fei	𠲎	2555
fei	𡌦	2555
fei	𢑮	2555
fei	𢒍	2555
fei	𢳁	2555
fei	𢾺	2555
fei	𣍧	2555
fei	𣙿	2555
fei	𤝟	2555
fei	𤷂	2555
fei	𤺕	2555
fei	𤼺	2555
fei	𥄱	2555
fei	𥇖	2555
fei	𥝊	2555
fei	𥝋	2555
fei	𥟍	2555
fei	𥠶	2555
fei	𥭬	2555
fei	𦃄	2555
fei	𦈗	2555
fei	𦱷	2555
fei	𧌘	2555
fei	𧍃	2555
fei	𧑈	2555
fei	𧓖	2555
fei	𧕒	2555
fei	𧕿	2555
fei	𧚆	2555
fei	𧝇	2555
fei	𧿳	2555
fei	𨚓	2555
fei	𨵈	2555
fei	𨻃	2555
fei	𩄼	2555
fei	𩆦	2555
fei	𩇫	2555
fei	𩇮	2555
fei	𩇯	2555
fei	𩇽	2555
fei	𩙲	2555
fei	𩡷	2555
fei	𩦎	2555
fei	𩯃	2555
fei	𩰲	2555
fei	𩰾	2555
fei	𩱎	2555
fei	𩵥	2555
fei	𩹉	2555
fei	𪁹	2555
